04/11/10 11:57:27 INFO  spoolmanager: JamesSpoolManager init...
04/11/10 11:57:28 INFO  spoolmanager: Matcher All instantiated.
04/11/10 11:57:28 INFO  spoolmanager: Mailet PostmasterAlias instantiated.
04/11/10 11:57:28 INFO  spoolmanager: Matcher RelayLimit=30 instantiated.
04/11/10 11:57:28 INFO  spoolmanager: Mailet Null instantiated.
04/11/10 11:57:28 INFO  spoolmanager: Matcher HasMailAttributeWithValue=org.apache.james.infected, true instantiated.
04/11/10 11:57:28 INFO  spoolmanager: Mailet ToProcessor instantiated.
04/11/10 11:57:28 INFO  spoolmanager: Matcher HasMailAttribute=spamChecked instantiated.
04/11/10 11:57:28 INFO  spoolmanager: Mailet ToProcessor instantiated.
04/11/10 11:57:28 INFO  spoolmanager: Matcher All instantiated.
04/11/10 11:57:28 INFO  spoolmanager: Mailet SetMailAttribute instantiated.
04/11/10 11:57:28 INFO  spoolmanager: Matcher SMTPAuthSuccessful instantiated.
04/11/10 11:57:28 INFO  spoolmanager: Mailet ToProcessor instantiated.
04/11/10 11:57:28 INFO  spoolmanager: Matcher InSpammerBlacklist=query.bondedsender.org. instantiated.
04/11/10 11:57:28 INFO  spoolmanager: Mailet ToProcessor instantiated.
04/11/10 11:57:28 INFO  spoolmanager: Matcher InSpammerBlacklist=dnsbl.njabl.org. instantiated.
04/11/10 11:57:28 INFO  spoolmanager: Mailet ToProcessor instantiated.
04/11/10 11:57:28 INFO  spoolmanager: Matcher All instantiated.
04/11/10 11:57:28 INFO  spoolmanager: Mailet ToProcessor instantiated.
04/11/10 11:57:28 INFO  spoolmanager: Processor root instantiated.
04/11/10 11:57:28 INFO  spoolmanager: Matcher All instantiated.
04/11/10 11:57:28 INFO  spoolmanager: Mailet ToRepository instantiated.
04/11/10 11:57:28 INFO  spoolmanager: Processor error instantiated.
04/11/10 11:57:28 INFO  spoolmanager: Matcher SMTPAuthSuccessful instantiated.
04/11/10 11:57:28 INFO  spoolmanager: Mailet SetMimeHeader instantiated.
